Timestamp,date,East player,East points,South player,South points,West player,West points,North player,North points
7/6/2025 13:18:19,6/7/2025 1:00:00,Joseph,22400,Koki,35300,Mikey,41000,Josh,1300
7/6/2025 13:22:01,6/7/2025 2:00:00,Josh,25000,Joseph,8700,Koki,38800,Mikey,27500
7/6/2025 13:28:16,6/7/2025 3:00:00,Josh,39700,Mikey,1100,Joseph,36600,Hyun,22600
7/6/2025 13:31:36,6/15/2025 1:00:00,Joseph,23900,Koki,10900,Mikey,22500,Josh,42700
7/6/2025 13:32:31,6/16/2025 1:00:00,Mikey,25000,Hyun,10300,Koki,42200,Joseph,22500
7/6/2025 13:33:10,6/17/2025 1:00:00,Koki,20800,Joseph,32000,Hyun,29500,Mikey,17700
7/6/2025 13:33:55,6/21/2025 1:00:00,Rayshone,33700,Mikey,38900,Koki,14300,Josh,13100
7/6/2025 13:35:54,6/22/2025 1:00:00,Koki,43300,Joseph,32400,Josh,-9600,Mikey,33900
7/6/2025 16:09:32,6/24/2025 1:00:00,Mikey,33000,Koki,41200,Joseph,9100,Hyun,16700
7/6/2025 17:40:39,6/28/2025 1:00:00,Mikey,16600,Koki,29000,Josh,38100,Jackie,16300
7/6/2025 17:41:55,6/29/2025 2:00:00,Josh,8600,Mikey,3400,Koki,46200,Joseph,41800
7/6/2025 17:43:32,6/29/2025 3:00:00,Joseph,28100,Josh,17400,Koki,24000,Mikey,30500
7/6/2025 17:44:31,7/24/2025 1:00:00,Josh,26900,Koki,20300,Mikey,11600,Joseph,41200
7/6/2025 18:19:33,7/4/2025 2:00:00,Koki,35600,Mikey,15100,Josh,10700,Joseph,38600
7/6/2025 18:20:23,7/4/2025 3:00:00,Rayshone,49600,Joseph,6600,Josh,18700,Hyun,25100
7/6/2025 18:24:02,7/4/2025 4:00:00,Hyun,-1000,Josh,43000,Joseph,33000,Mikey,25000
7/6/2025 18:27:45,7/4/2025 5:00:00,Josh,29400,Joseph,28800,Hyun,8800,Mikey,33000
7/6/2025 18:29:01,7/4/2025 6:00:00,Joseph,56500,Koki,21500,Mikey,-1500,Hyun,23500
7/6/2025 18:29:41,7/4/2025 7:00:00,Joseph,38700,Koki,9400,Mikey,33400,Hyun,18500
7/6/2025 18:30:20,7/5/2025 1:00:00,Hyun,20300,Josh,24200,Koki,21900,Mikey,33600
7/6/2025 18:32:09,7/5/2025 2:00:00,Hyun,-3700,Mikey,14700,Joseph,28600,Koki,60400
7/6/2025 18:33:13,7/5/2025 3:00:00,Mikey,21400,Hyun,35300,Joseph,19300,Koki,24000
7/6/2025 18:34:24,7/5/2025 4:00:00,Koki,13600,Joseph,15500,Mikey,47400,Hyun,23500
7/6/2025 18:35:26,7/5/2025 5:00:00,Hyun,14400,Koki,40100,Mikey,42700,Josh,2800
